_id,link,license,language,licenseConflicts
64684a1313df3d68492c5ca2,https://github.com/facebook/FAI-PEP,Apache License 2.0,Python,26
6468491613df3d68492c5c9c,https://github.com/facebook/SoLoader,Apache License 2.0,Java,4
64684c8c13df3d68492c5ca6,https://github.com/google/blockly,Apache License 2.0,TypeScript,15
64685e2213df3d68492c5cf3,https://github.com/google/android-gradle-dsl,Apache License 2.0,HTML,20
646848be13df3d68492c5c96,https://github.com/facebook/wangle,Apache License 2.0,C++,20
6468511713df3d68492c5cc7,https://github.com/microsoft/ADBench,MIT License,C++,23
64684ee713df3d68492c5cbf,https://github.com/microsoft/Windows-appsample-trafficapp,MIT License,C#,9
64685d4613df3d68492c5ce5,https://github.com/microsoft/Coding4Fun,MIT License,HTML,12
64685db013df3d68492c5ced,https://github.com/google/account-provisioning-for-google-apps,Apache License 2.0,Java,2
6468498b13df3d68492c5c9e,https://github.com/facebook/fb303,Apache License 2.0,C++,1
64685c9b13df3d68492c5cd5,https://github.com/microsoft/ntttcp-for-linux,MIT License,C,2
64685cc513df3d68492c5cd9,https://github.com/microsoft/Mobius,MIT License,C#,16
64685da213df3d68492c5ceb,https://github.com/microsoft/libobjc2,MIT License,C,1
64685e9013df3d68492c5cf5,https://github.com/microsoft/botframework-sdk,MIT License,JavaScript,1
6468610e13df3d68492c5d0d,https://github.com/microsoft/jschema,Apache License 2.0,C#,7
6468515d13df3d68492c5cc9,https://github.com/google/open-location-code,Apache License 2.0,Java,30
64684d9813df3d68492c5cae,https://github.com/facebook/buck2,Apache License 2.0,Rust,1
64684de813df3d68492c5cb4,https://github.com/microsoft/Microsoft.IO.RecyclableMemoryStream,MIT License,C#,1
64685cdf13df3d68492c5cdb,https://github.com/google/yapf,Apache License 2.0,Python,1
64685e1b13df3d68492c5cf1,https://github.com/google/capirca,Apache License 2.0,Python,64
64685d3f13df3d68492c5ce3,https://github.com/google/archive-patcher,Apache License 2.0,Java,107
6468602213df3d68492c5cf7,https://github.com/google/openhtf,Apache License 2.0,Python,41
6468605b13df3d68492c5cfd,https://github.com/microsoft/azure-pipelines-extensions,MIT License,PowerShell,5
64685d0613df3d68492c5cdd,https://github.com/google/wwgc,Apache License 2.0,JavaScript,29
6468610413df3d68492c5d0b,https://github.com/google/marzipano,Apache License 2.0,JavaScript,12
646848f713df3d68492c5c98,https://github.com/facebook/jscodeshift,MIT License,JavaScript,7
64684c9013df3d68492c5ca8,https://github.com/microsoft/QuickInject,MIT License,C#,1
646865df13df3d68492c5d29,https://github.com/microsoft/BotBuilder-Samples,MIT License,HTML,400
64684edb13df3d68492c5cbd,https://github.com/google/re2,"BSD 3-Clause ""New"" or ""Revised"" License",C++,9
64685d6613df3d68492c5ce9,https://github.com/google/watchpresenter,Apache License 2.0,Java,7
6468637b13df3d68492c5d1f,https://github.com/google/meterstick,Apache License 2.0,Jupyter Notebook,1
64684eeb13df3d68492c5cc1,https://github.com/microsoft/Office-Online-Test-Tools-and-Documentation,MIT License,,6
64685d0e13df3d68492c5cdf,https://github.com/microsoft/cordova-plugin-hockeyapp,Apache License 2.0,HTML,4
64684a1913df3d68492c5ca4,https://github.com/facebook/SPARTA,MIT License,C++,2
64684ebd13df3d68492c5cbb,https://github.com/microsoft/Chakra-Samples,MIT License,HTML,306
6468603413df3d68492c5cf9,https://github.com/google/s2-geometry-library-java,Apache License 2.0,Java,6
64685c5e13df3d68492c5ccf,https://github.com/microsoft/vscode,MIT License,TypeScript,128
64686b2f13df3d68492c5d33,https://github.com/microsoft/AzureKeyVaultExplorer,MIT License,C#,2
646861ed13df3d68492c5d11,https://github.com/microsoft/vstest,MIT License,C#,157
64686d2313df3d68492c5d40,https://github.com/google/pik,MIT License,C++,75
646850e913df3d68492c5cc5,https://github.com/microsoft/VSSDK-Extensibility-Samples,MIT License,C#,110
646864f813df3d68492c5d27,https://github.com/microsoft/vscode-html-languageservice,MIT License,TypeScript,8
64685d1c13df3d68492c5ce1,https://github.com/microsoft/orca,Apache License 2.0,Groovy,18
6468626913df3d68492c5d17,https://github.com/google/gps-measurement-tools,Apache License 2.0,Java,113
646862b013df3d68492c5d1b,https://github.com/microsoft/LightGBM,MIT License,C++,59
6468690913df3d68492c5d2d,https://github.com/google/gapid,Apache License 2.0,Go,812
64686c6713df3d68492c5d39,https://github.com/microsoft/WakeYourPC_AndroidApp,MIT License,Java,2
64684dd213df3d68492c5cb0,https://github.com/facebook/memlab,MIT License,TypeScript,90
64686cd413df3d68492c5d3c,https://github.com/google/vk_callback_swapchain,Apache License 2.0,C++,282
64686bb313df3d68492c5d35,https://github.com/google/clif,Apache License 2.0,Python,341
6468708613df3d68492c5d61,https://github.com/google/cel-cpp,Apache License 2.0,C++,9
64686eab13df3d68492c5d46,https://github.com/google/xctestrunner,Apache License 2.0,Python,7
646872a113df3d68492c5d7e,https://github.com/google/mentornet,Apache License 2.0,Python,14
6468726213df3d68492c5d78,https://github.com/google/gin-config,Apache License 2.0,Python,321
6468732413df3d68492c5d86,https://github.com/google/docsy,Apache License 2.0,HTML,33
646870a813df3d68492c5d69,https://github.com/microsoft/Windows-appsample-annotated-audio,MIT License,C#,2
646871f013df3d68492c5d76,https://github.com/google/dynamic-form,Apache License 2.0,TypeScript,1
64686fa613df3d68492c5d55,https://github.com/google/codemirror-mode-jsonnet,Apache License 2.0,JavaScript,295
64686fe013df3d68492c5d59,https://github.com/google/data-transfer-project,Apache License 2.0,Java,21
6468714b13df3d68492c5d72,https://github.com/google/docker-explorer,Apache License 2.0,Python,1
646873b613df3d68492c5d8a,https://github.com/google/splot-java,Apache License 2.0,Java,229
6468714413df3d68492c5d70,https://github.com/google/gvisor,Apache License 2.0,Go,18
646871ec13df3d68492c5d74,https://github.com/microsoft/dynamics365-kbmigration,MIT License,C#,2
6468729613df3d68492c5d7c,https://github.com/google/payjs,Apache License 2.0,JavaScript,1
6468705a13df3d68492c5d5b,https://github.com/microsoft/WindowsRuntimeAPIs_Javascript_snippets,MIT License,JavaScript,1
646870a513df3d68492c5d67,https://github.com/google/knusperli,Apache License 2.0,C++,1
646875a513df3d68492c5d92,https://github.com/google/clusterfuzz,Apache License 2.0,Python,1498
646873c813df3d68492c5d8e,https://github.com/microsoft/GazeInteractionApps,MIT License,C#,24
646876c213df3d68492c5d96,https://github.com/google/pprof-nodejs,Apache License 2.0,JavaScript,4
64687f6713df3d68492c5da3,https://github.com/microsoft/Bing-Maps-Fleet-Tracker,MIT License,C#,2
6468887113df3d68492c5da9,https://github.com/google/tweakr,Apache License 2.0,JavaScript,221
64687e9313df3d68492c5d9d,https://github.com/apache/apr-iconv,Apache License 2.0,C,55
646876b713df3d68492c5d94,https://github.com/google/android-uiconductor,Apache License 2.0,Java,98
646876d713df3d68492c5d98,https://github.com/google/brunsli,MIT License,C++,40
64688b6013df3d68492c5dc1,https://github.com/google/framework-for-osdu,Apache License 2.0,Java,54
646888aa13df3d68492c5dab,https://github.com/google/qkeras,Apache License 2.0,Python,7
64688ae513df3d68492c5db3,https://github.com/microsoft/botbuilder-js,MIT License,TypeScript,10
64688d2a13df3d68492c5dcb,https://github.com/google/agi,Apache License 2.0,Go,542
64688bb313df3d68492c5dc7,https://github.com/microsoft/Windows-Machine-Learning,MIT License,C++,28
64688b4113df3d68492c5dbf,https://github.com/microsoft/TrillSamples,MIT License,C#,3
